lng,lat,avg_tmpr_c,wthr_date,city,country
-0.016,51.509,17.50,2022-08-24,London,GB
-0.123,51.521,15.16,2022-08-06,London,GB
2.326,48.847,17.21,2022-08-13,Paris,FR
-0.192,51.537,11.62,2021-10-15,London,GB
2.344,48.874,17.82,2022-08-17,Paris,FR
2.179,41.401,17.18,2021-10-27,Barcelona,ES
-0.135,51.518,15.39,2022-08-06,London,GB
2.342,48.845,8.98,2021-10-08,Paris,FR
2.325,48.875,18.10,2022-09-28,Paris,FR
2.330,48.871,7.53,2021-10-21,Paris,FR
2.324,48.846,17.48,2022-08-17,Paris,FR
9.165,45.484,12.35,2021-10-15,Milan,IT
2.388,48.854,8.51,2021-10-08,Carrollton,US
2.341,48.849,10.94,2021-10-26,Paris,FR
2.154,41.380,16.93,2021-10-27,Barcelona,ES
2.321,48.880,16.73,2022-09-03,Paris,FR
-0.152,51.513,8.35,2021-10-09,London,GB
-0.057,51.515,13.86,2022-09-22,London,GB
2.369,48.864,18.61,2022-09-28,Paris,FR
2.369,48.855,17.93,2022-08-13,Paris,FR
-0.125,51.520,11.90,2021-10-15,London,GB
-0.193,51.491,15.00,2022-08-05,London,GB
2.322,48.874,6.91,2021-10-21,Paris,FR
2.173,41.392,17.11,2021-10-27,Barcelona,ES
2.343,48.861,17.26,2022-08-13,Paris,FR
-0.178,51.515,16.70,2022-08-24,Paddington,GB
2.302,48.892,17.80,2022-09-28,Paris,FR
2.303,48.868,9.79,2021-10-18,Paris,FR
-0.186,51.511,11.91,2021-10-15,London,GB
2.327,48.876,7.63,2021-10-21,Paris,FR
2.310,48.859,8.79,2021-10-08,Paris,FR
2.298,48.874,18.28,2022-09-28,Paris,FR
2.329,48.818,7.50,2021-10-22,Paris,FR
2.344,48.853,17.92,2022-08-13,Paris,FR
2.332,48.866,18.36,2022-08-17,Paris,FR
2.266,48.840,9.17,2021-10-08,Paris,FR
-0.142,51.519,8.80,2021-10-09,London,GB
2.332,48.864,9.01,2021-10-08,Paris,FR
2.293,48.856,17.35,2022-08-13,Paris,FR
2.341,48.875,7.61,2021-10-21,Paris,FR
2.336,48.882,17.84,2022-08-17,Paris,FR
2.299,48.882,7.92,2021-10-12,Paris,FR
-79.606,40.220,18.94,2021-10-15,New Stanton,US
-0.183,51.514,11.66,2021-10-15,London,GB
2.330,48.853,8.66,2021-10-08,Paris,FR
2.298,48.883,7.56,2021-10-21,Paris,FR
-0.168,51.529,14.64,2022-09-22,London,GB
-0.135,51.519,14.41,2022-09-22,London,GB
-0.124,51.520,12.53,2021-10-15,London,GB
2.303,48.872,18.06,2022-08-17,Paris,FR
-0.127,51.514,14.60,2022-09-22,London,GB
2.334,48.884,10.76,2021-10-30,Paris,FR
2.181,41.380,24.77,2022-08-26,Barcelona,ES
9.193,45.470,25.01,2022-08-16,Milan,IT
