id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng,date,avg_tmpr_c,erroneous_orders_data,tiny_orders,small_orders,medium_orders,large_orders,most_popular_order_type
59,60,Big City Grill,18235,GB,London,51.5,-0.19,2022-09-19,13.64,0,5,5,0,0,Tiny
146028888106,43,The Food House,6723,IT,Milan,45.47,9.19,2022-09-19,14.63,0,2,4,0,0,Small
188978561051,28,The Spicy Pickle,5034,ES,Barcelona,41.38,2.17,2022-08-26,24.58,0,1,4,0,0,Small
223338299443,52,The Red Door,71667,GB,London,51.51,-0.13,2022-08-06,15.83,0,2,6,0,0,Small
77309411381,54,The Spice House,63415,FR,Paris,48.88,2.33,2022-08-17,18.3,0,1,10,0,0,Small
128849018938,59,Azalea Cafe,14894,FR,Paris,48.87,2.3,2022-09-28,17.54,0,1,5,0,0,Small
85899345976,57,The Yellow Submarine,80392,GB,London,51.5,-0.19,2022-09-19,13.5,0,2,3,0,0,Small
77309411394,67,Crimson and Clover,63415,GB,London,51.52,-0.13,2022-08-24,16.87,0,1,5,0,0,Small
163208757318,71,Fire and Spice,48721,GB,London,51.52,-0.15,2022-08-06,15.36,0,2,3,0,0,Small
42949673023,64,Chateau de Cuisine,99501,GB,London,51.51,-0.13,2022-09-22,14.58,0,1,6,0,0,Small
137438953527,56,The Waffle House,17484,GB,London,51.52,-0.16,2022-08-06,15.47,0,3,2,0,0,Tiny
249108103236,69,Dragonfly Cafe,62927,GB,London,51.52,-0.15,2022-08-06,15.68,0,2,4,0,0,Small
103079215168,65,Chef's Corner,1670,GB,London,51.51,-0.15,2022-09-22,13.7,0,2,4,0,0,Small
103079215149,46,The Italian Table,1670,IT,Milan,45.46,9.19,2022-09-19,13.96,0,3,7,0,0,Small
266287972401,50,The Pancake House,70700,FR,Paris,48.85,2.34,2022-09-28,18.71,0,0,2,0,0,Small
146028888136,73,Fresh Harvest,6723,GB,London,51.49,-0.18,2022-08-17,16.06,0,1,2,0,0,Small
77309411344,17,The Rustic Table,63415,US,Corbin,36.92,-84.13,2022-09-23,22.67,0,3,3,0,0,Tiny
120259084315,28,The Spicy Pickle,40542,IT,Milan,45.47,9.19,2022-08-05,23.58,0,1,3,0,0,Small
214748364851,52,The Red Door,23242,FR,Paris,48.85,2.34,2022-08-14,19.79,0,3,4,0,0,Small
180388626483,52,The Red Door,78270,FR,Paris,48.87,2.34,2022-09-03,16.83,0,4,5,0,0,Small
163208757308,61,Blue Water Bistro,48721,FR,Paris,48.88,2.34,2022-09-03,16.63,0,2,4,0,0,Small
17179869250,67,Crimson and Clover,66775,GB,London,51.5,-0.19,2022-09-19,13.38,0,2,1,0,0,Tiny
249108103168,1,Savoria,62927,US,Miami Beach,25.77,-80.13,2022-09-01,28.72,0,1,3,0,0,Small
47,48,The Local Cafe,18235,FR,Paris,48.85,2.34,2022-09-28,18.68,0,2,6,0,0,Small
249108103213,46,The Italian Table,62927,IT,Milan,45.49,9.2,2022-08-30,23.88,0,0,8,0,0,Small
249108103213,46,The Italian Table,62927,IT,Milan,45.49,9.2,2022-08-05,24.1,0,0,4,0,0,Small
249108103235,68,Delish Cafe,62927,GB,London,51.51,-0.08,2022-08-24,17.36,0,1,5,0,0,Small
47,48,The Local Cafe,18235,FR,Paris,48.85,2.34,2022-08-14,19.82,0,3,4,0,0,Small
8589934655,64,Chateau de Cuisine,21234,GB,London,51.52,-0.08,2022-09-22,14.25,0,2,3,0,0,Small
266287972377,26,The Silver Spoon,70700,ES,Barcelona,41.4,2.16,2022-08-26,24.1,0,2,3,0,0,Small
17179869247,64,Chateau de Cuisine,66775,FR,Paris,48.88,2.31,2022-09-03,17.22,0,3,7,0,0,Small
249108103190,23,The Hungry Pig,62927,US,Carnegie,40.41,-80.09,2022-09-06,12.5,0,2,6,0,0,Small
17179869258,75,Greenhouse Cafe,66775,GB,London,51.51,-0.08,2022-09-02,13.55,0,2,4,0,0,Small
257698037826,67,Crimson and Clover,29989,GB,London,51.51,-0.14,2022-08-24,17.04,0,3,5,0,0,Small
77309411348,21,The Lazy Daisy,63415,US,Columbia,38.96,-92.29,2022-08-30,22.57,0,1,6,0,0,Small
171798691904,65,Chef's Corner,28451,GB,London,51.54,-0.15,2022-08-06,16.04,0,1,5,0,0,Small
42949673011,52,The Red Door,99501,FR,Paris,48.87,2.34,2022-08-14,19.56,0,2,4,0,0,Small
249108103234,67,Crimson and Clover,62927,GB,London,51.51,-0.15,2022-09-02,14.09,0,2,3,0,0,Small
249108103211,44,The French Kitchen,62927,IT,Milan,45.46,9.15,2022-09-11,17.98,0,1,3,0,0,Small
197568495642,27,The Corner Cafe,30694,ES,Barcelona,41.38,2.17,2022-08-26,24.07,0,2,3,0,0,Small
8589934638,47,The Juicy Burger,21234,FR,Paris,48.87,2.33,2022-09-28,17.91,0,1,6,0,0,Small
103079215160,57,The Yellow Submarine,1670,FR,Paris,48.87,2.34,2022-08-17,17.84,0,4,4,0,0,Tiny
180388626500,69,Dragonfly Cafe,78270,NL,Amsterdam,52.36,4.88,2022-08-07,16.05,0,3,8,0,0,Small
266287972407,56,The Waffle House,70700,FR,Paris,48.87,2.3,2022-09-28,18.09,0,3,4,0,0,Small
120259084348,61,Blue Water Bistro,40542,GB,London,51.52,-0.13,2022-09-22,13.98,0,2,7,0,0,Small
60129542161,18,The Harvest Room,85945,US,Fairview Heights,38.6,-89.99,2022-08-10,23.87,0,2,4,0,0,Small
171798691872,33,The Blue Elephant,28451,IT,Milan,45.5,9.17,2022-09-11,17.8,0,4,4,0,0,Tiny
214748364857,58,A Tasty Bite,23242,FR,Paris,48.87,2.33,2022-09-28,18.03,0,2,5,0,0,Small
223338299422,31,Bistro 42,71667,IT,Milan,45.47,9.19,2022-08-16,25.07,0,2,4,0,0,Small
59,60,Big City Grill,18235,GB,London,51.5,-0.19,2022-09-19,13.3,0,5,5,0,0,Tiny
214748364844,45,The Green Bean,23242,FR,Paris,48.84,2.3,2022-09-28,18.03,0,3,3,0,0,Tiny
146028888106,43,The Food House,6723,IT,Milan,45.47,9.19,2022-09-19,14.76,0,2,4,0,0,Small
77309411381,54,The Spice House,63415,FR,Paris,48.88,2.33,2022-09-28,17.74,0,4,5,0,0,Small
206158430225,18,The Harvest Room,76199,US,Bloomington,39.19,-86.53,2022-09-24,24.08,0,0,4,0,0,Small
42949672997,38,Cafe Viva,99501,IT,Milan,45.47,9.19,2022-09-19,13.96,0,2,5,0,0,Small
154618822733,78,The Hot Spot,69842,GB,London,51.52,-0.14,2022-09-22,14.09,0,2,3,0,0,Small
214748364874,75,Greenhouse Cafe,23242,GB,London,51.52,-0.12,2022-08-06,15.61,0,2,3,0,0,Small
266287972390,39,Cinnamon Grill,70700,IT,Milan,45.47,9.19,2022-08-16,25.28,0,2,4,0,0,Small
25769803835,60,Big City Grill,95123,GB,London,51.49,-0.14,2022-08-17,15.97,0,1,4,0,0,Small
77309411393,66,City Bites,63415,GB,London,51.52,-0.12,2022-09-18,10.59,0,1,3,0,0,Small
77309411394,67,Crimson and Clover,63415,GB,London,51.52,-0.13,2022-08-24,16.92,0,1,5,0,0,Small
146028888144,81,The Oak Room,6723,GB,London,51.52,-0.12,2022-08-24,17.54,0,1,7,0,0,Small
257698037819,60,Big City Grill,29989,FR,Paris,48.88,2.29,2022-08-17,17.61,0,2,4,0,0,Small
94489280572,61,Blue Water Bistro,49283,NL,Amsterdam,52.36,4.88,2022-08-03,17.9,0,2,4,0,0,Small
240518168636,61,Blue Water Bistro,73942,FR,Paris,48.87,2.33,2022-09-28,17.65,0,2,2,0,0,Tiny
249108103233,66,City Bites,62927,GB,London,51.51,-0.12,2022-09-22,14.41,0,2,1,0,0,Tiny
214748364851,52,The Red Door,23242,FR,Paris,48.85,2.34,2022-08-17,18.05,0,2,2,0,0,Tiny
180388626483,52,The Red Door,78270,FR,Paris,48.87,2.34,2022-08-17,18.26,0,2,6,0,0,Small
25769803846,71,Fire and Spice,95123,NL,Amsterdam,52.37,4.89,2022-08-10,16.78,0,2,2,0,0,Tiny
231928234036,53,The Red Rooster,58574,GB,London,51.51,-0.15,2022-09-22,14.12,0,3,1,0,0,Tiny
249108103230,63,Cafe Paris,62927,GB,London,51.49,-0.18,2022-09-19,13.61,0,5,4,0,0,Tiny
47,48,The Local Cafe,18235,FR,Paris,48.85,2.34,2022-08-13,17.92,0,3,4,0,0,Small
85899345943,24,The Fisherman's Catch,80392,ES,Barcelona,41.39,2.17,2022-08-26,24.5,0,4,5,0,0,Small
25769803797,22,The Red Pepper,95123,ES,Barcelona,41.39,2.16,2022-08-26,24.3,0,1,5,0,0,Small
214748364870,71,Fire and Spice,23242,GB,London,51.51,-0.19,2022-09-18,10.74,0,4,6,0,0,Small
214748364870,71,Fire and Spice,23242,GB,London,51.51,-0.19,2022-09-22,14.0,0,0,6,0,0,Small
180388626484,53,The Red Rooster,78270,FR,Paris,48.88,2.33,2022-09-03,17.22,0,3,4,0,0,Small
34359738370,3,Spice Bazaar,87979,US,New Orleans,30.05,-89.96,2022-09-18,27.95,0,3,3,0,0,Tiny
51539607599,48,The Local Cafe,1672,FR,Paris,48.87,2.32,2022-08-17,17.9,0,1,3,0,0,Small
85899345959,40,Crimson Cafe,80392,IT,Milan,45.49,9.15,2022-08-30,23.86,0,0,9,0,0,Small
249108103224,57,The Yellow Submarine,62927,FR,Paris,48.86,2.33,2022-08-13,17.48,0,2,3,0,0,Small
8589934649,58,A Tasty Bite,21234,GB,London,51.49,-0.14,2022-08-05,14.41,0,1,5,0,0,Small
180388626500,69,Dragonfly Cafe,78270,NL,Amsterdam,52.36,4.88,2022-08-07,15.74,0,3,8,0,0,Small
8589934638,47,The Juicy Burger,21234,FR,Paris,48.87,2.33,2022-09-28,17.82,0,1,6,0,0,Small
17179869256,73,Fresh Harvest,66775,GB,London,51.51,-0.13,2022-09-02,13.58,0,1,12,0,0,Small
214748364857,58,A Tasty Bite,23242,FR,Paris,48.87,2.33,2022-08-17,18.17,0,1,4,0,0,Small
266287972391,40,Crimson Cafe,70700,IT,Milan,45.47,9.19,2022-09-11,18.44,0,2,4,0,0,Small
137438953524,53,The Red Rooster,17484,GB,London,51.51,-0.13,2022-09-22,13.9,0,1,4,0,0,Small
103079215176,73,Fresh Harvest,1670,GB,London,51.53,-0.13,2022-08-06,15.26,0,2,2,0,0,Tiny
146028888089,26,The Silver Spoon,6723,ES,Barcelona,41.39,2.17,2022-08-26,24.93,0,10,8,0,0,Tiny
180388626473,42,The Daily Scoop,78270,FR,Paris,48.84,2.33,2022-08-14,19.64,0,6,0,0,0,Tiny
77309411385,58,A Tasty Bite,63415,GB,London,51.49,-0.19,2022-09-19,13.09,0,2,2,0,0,Tiny
103079215168,65,Chef's Corner,1670,GB,London,51.51,-0.15,2022-08-24,17.53,0,5,4,0,0,Tiny
197568495644,29,The Olive Branch,30694,ES,Barcelona,41.39,2.16,2022-08-26,24.99,0,4,8,0,0,Small
146028888144,81,The Oak Room,6723,GB,London,51.52,-0.12,2022-08-24,16.6,0,1,7,0,0,Small
25769803817,42,The Daily Scoop,95123,IT,Milan,45.47,9.14,2022-09-19,14.23,0,1,5,0,0,Small
60129542179,36,Blue Ocean Grill,85945,IT,Milan,45.48,9.2,2022-08-16,25.61,0,0,3,0,0,Small
171798691881,42,The Daily Scoop,28451,FR,Paris,48.85,2.32,2022-08-13,18.08,0,2,3,0,0,Small
163208757289,42,The Daily Scoop,48721,IT,Milan,45.47,9.19,2022-08-16,25.02,0,1,5,0,0,Small
171798691896,57,The Yellow Submarine,28451,GB,London,51.51,-0.13,2022-09-02,14.37,0,4,6,0,0,Small
36,37,Cafe Crepe,18235,IT,Milan,45.46,9.19,2022-08-13,22.24,0,4,4,0,0,Tiny
266287972406,55,The Steak House,70700,FR,Paris,48.87,2.32,2022-09-28,18.07,0,1,4,0,0,Small
266287972406,55,The Steak House,70700,FR,Paris,48.87,2.32,2022-09-28,17.81,0,1,4,0,0,Small
231928234039,56,The Waffle House,58574,NL,Amsterdam,52.34,4.83,2022-08-02,18.67,0,5,6,0,0,Small
171798691899,60,Big City Grill,28451,GB,London,51.52,-0.15,2022-08-06,15.92,0,1,2,0,0,Small
249108103197,30,The Wine Cellar,62927,ES,Barcelona,41.39,2.17,2022-08-26,24.9,0,2,8,0,0,Small
231928234031,48,The Local Cafe,58574,FR,Paris,48.87,2.32,2022-09-03,16.79,0,2,5,0,0,Small
180388626483,52,The Red Door,78270,FR,Paris,48.87,2.34,2022-08-17,17.99,0,4,12,0,0,Small
154618822714,59,Azalea Cafe,69842,FR,Paris,48.87,2.31,2022-08-17,17.47,0,10,6,0,0,Tiny
128849018952,73,Fresh Harvest,14894,GB,London,51.51,-0.18,2022-08-24,16.79,0,3,5,0,0,Small
85899345977,58,A Tasty Bite,80392,GB,London,51.51,-0.18,2022-09-02,14.31,0,2,1,0,0,Tiny
85899345977,58,A Tasty Bite,80392,GB,London,51.51,-0.18,2022-09-02,13.72,0,2,1,0,0,Tiny
214748364851,52,The Red Door,23242,FR,Paris,48.85,2.34,2022-09-28,18.68,0,2,6,0,0,Small
51539607583,32,The Orange Peeler,1672,IT,Milan,45.48,9.2,2022-09-11,18.26,0,2,3,0,0,Small
214748364853,54,The Spice House,23242,FR,Paris,48.86,2.33,2022-08-13,17.85,0,0,3,0,0,Small
