id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng,date,avg_tmpr_c,erroneous_orders_data,tiny_orders,small_orders,medium_orders,large_orders,most_popular_order_type
214748364857,58,A Tasty Bite,23242,FR,Paris,48.87,2.33,2022-08-14,19.23,0,1,3,0,0,Small
42949672997,38,Cafe Viva,99501,IT,Milan,45.47,9.19,2022-08-05,23.58,0,2,5,0,0,Small
197568495656,41,The Daily Bread,30694,IT,Milan,45.49,9.2,2022-09-11,17.6,0,4,5,0,0,Small
120259084310,23,The Hungry Pig,40542,ES,Barcelona,41.39,2.16,2022-08-26,24.4,0,0,3,0,0,Small
188978561093,70,Earth and Vine,5034,GB,London,51.5,-0.16,2022-08-17,15.98,0,2,5,0,0,Small
128849018938,59,Azalea Cafe,14894,FR,Paris,48.87,2.3,2022-09-28,17.94,0,2,10,0,0,Small
128849018938,59,Azalea Cafe,14894,FR,Paris,48.87,2.3,2022-08-13,17.32,0,0,5,0,0,Small
146028888124,61,Blue Water Bistro,6723,FR,Paris,48.85,2.35,2022-09-28,18.11,0,4,4,0,0,Tiny
214748364875,76,Happy Hour Cafe,23242,GB,London,51.52,-0.08,2022-09-02,13.48,0,2,2,0,0,Tiny
214748364875,76,Happy Hour Cafe,23242,GB,London,51.52,-0.08,2022-09-02,14.01,0,2,2,0,0,Tiny
240518168636,61,Blue Water Bistro,73942,FR,Paris,48.87,2.33,2022-08-14,19.72,0,3,2,0,0,Tiny
146028888144,81,The Oak Room,6723,GB,London,51.52,-0.12,2022-08-24,17.29,0,1,7,0,0,Small
60129542179,36,Blue Ocean Grill,85945,IT,Milan,45.48,9.2,2022-08-30,23.75,0,1,1,0,0,Tiny
103079215149,46,The Italian Table,1670,IT,Milan,45.46,9.19,2022-08-30,23.4,0,1,5,0,0,Small
137438953527,56,The Waffle House,17484,GB,London,51.52,-0.16,2022-08-06,15.73,0,3,2,0,0,Tiny
36,37,Cafe Crepe,18235,IT,Milan,45.46,9.19,2022-09-19,14.54,0,2,4,0,0,Small
146028888144,81,The Oak Room,6723,GB,London,51.52,-0.12,2022-09-02,14.25,0,3,2,0,0,Tiny
39,40,Crimson Cafe,18235,IT,Milan,45.49,9.2,2022-08-13,22.74,0,3,1,0,0,Tiny
17179869251,68,Delish Cafe,66775,GB,London,51.5,-0.14,2022-08-05,14.6,0,1,3,0,0,Small
214748364860,61,Blue Water Bistro,23242,FR,Paris,48.88,2.34,2022-08-17,18.09,0,1,8,0,0,Small
